Date,Visitor,G,Home,G,,Att.,LOG,Notes
2021-02-18,Ottawa Senators,3,Toronto Maple Leafs,7,,,2:23,
2021-02-18,Buffalo Sabres,1,Washington Capitals,3,,,2:12,
2021-02-19,Chicago Blackhawks,3,Carolina Hurricanes,5,,,2:24,
2021-02-19,Edmonton Oilers,2,Calgary Flames,1,,,2:12,
2021-02-19,Florida Panthers,7,Detroit Red Wings,2,,,2:30,at Little Caesars Arena (Detroit MI)
2021-02-19,Winnipeg Jets,2,Vancouver Canucks,0,,,2:21,
2021-02-20,Minnesota Wild,5,Anaheim Ducks,1,,,2:26,
2021-02-20,Los Angeles Kings,4,Arizona Coyotes,2,,3187,2:18,
2021-02-20,Tampa Bay Lightning,0,Carolina Hurricanes,4,,,2:20,
2021-02-20,Nashville Predators,4,Columbus Blue Jackets,2,,,2:31,
2021-02-20,Vegas Golden Knights,2,Colorado Avalanche,3,,,0:35,at Edgewood Tahoe Resort (Stateline NV)
2021-02-20,Florida Panthers,1,Detroit Red Wings,2,,,2:28,at Little Caesars Arena (Detroit MI)
2021-02-20,Calgary Flames,1,Edmonton Oilers,7,,,2:35,
2021-02-20,Toronto Maple Leafs,5,Montreal Canadiens,3,,,2:29,
2021-02-20,Buffalo Sabres,3,New Jersey Devils,2,,,2:21,
2021-02-20,New York Islanders,2,Pittsburgh Penguins,3,,,2:20,
2021-02-20,San Jose Sharks,5,St. Louis Blues,4,,,2:30,
2021-02-20,New York Rangers,4,Washington Capitals,1,,,2:25,
2021-02-21,Philadelphia Flyers,3,Boston Bruins,7,,,2:28,at Edgewood Tahoe Resort (Stateline NV)
2021-02-21,Montreal Canadiens,2,Ottawa Senators,3,OT,,2:34,
2021-02-21,Winnipeg Jets,4,Vancouver Canucks,3,OT,,2:26,
2021-02-21,New Jersey Devils,3,Washington Capitals,4,,,2:28,
2021-02-22,Anaheim Ducks,3,Arizona Coyotes,4,,2346,2:47,
2021-02-22,Tampa Bay Lightning,4,Carolina Hurricanes,2,,,2:33,
2021-02-22,Vegas Golden Knights,3,Colorado Avalanche,0,,,2:18,
2021-02-22,Dallas Stars,1,Florida Panthers,3,,3510,2:23,
2021-02-22,Buffalo Sabres,2,New York Islanders,3,,,2:23,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-02-22,Minnesota Wild,6,San Jose Sharks,2,,,2:29,
2021-02-22,Los Angeles Kings,3,St. Louis Blues,0,,,2:19,
2021-02-22,Calgary Flames,3,Toronto Maple Leafs,0,,,2:22,
2021-02-23,Chicago Blackhawks,6,Columbus Blue Jackets,5,SO,,2:39,
2021-02-23,Nashville Predators,2,Detroit Red Wings,0,,,2:29,at Little Caesars Arena (Detroit MI)
2021-02-23,Buffalo Sabres,4,New Jersey Devils,1,,,2:30,
2021-02-23,Montreal Canadiens,4,Ottawa Senators,5,SO,,2:44,
2021-02-23,Edmonton Oilers,4,Vancouver Canucks,3,,,2:28,
2021-02-23,Pittsburgh Penguins,3,Washington Capitals,2,OT,,2:30,
2021-02-24,Anaheim Ducks,3,Arizona Coyotes,4,SO,2319,2:46,
2021-02-24,Minnesota Wild,6,Colorado Avalanche,2,,,2:26,
2021-02-24,Dallas Stars,3,Florida Panthers,0,,3324,2:31,
2021-02-24,New York Rangers,3,Philadelphia Flyers,4,,,2:27,
2021-02-24,Los Angeles Kings,2,St. Louis Blues,1,,,2:23,
2021-02-24,Carolina Hurricanes,0,Tampa Bay Lightning,3,,500,2:18,
2021-02-24,Calgary Flames,1,Toronto Maple Leafs,2,OT,,2:24,
2021-02-25,New Jersey Devils,4,Buffalo Sabres,3,OT,,2:22,
